time,text,userid,danmu_sn
0,簽,eaglekhh,18730861
0,簽,www0122,18730866
0,簽,Kamaboko714,18730867
0,2點半準時更新 讚喔巴哈大哥,stevenweng09,18730868
0,遷,lhw0801097,18730869
0,簽到,sd880880880,18730909
0,3/22 02：30簽,joanfuuu,18730936
0,來來來來了,abcd3931,18730955
0,簽,KillerQueen3,18731316
0,接著看有夠爽,YanMingZhi,18731482
0,三刷,shenyufeng,18737566
0,簽~,RUBY98127,18744677
0,簽,Zhoue1071208,18745053
0,來啊,wu9215,18746441
0,雙倍巨人雙倍快樂💖,a960110,18758266
0,田,p2014422,18765745
0,S,p2014422,18765746
0,啦啦啦啦啦啦啦,T20090303,18771446
0,簽,Cheny1219,18772449
0,簽簽~~,ananas,18815315
1,3/22簽,rod83141,18746105
1,王一泓牽到,E126146542,18836952
2,簽2,d0920877993,18731272
2,簽,JimmyChen111,18773649
2,簽到囉,E126146542,18837000
2,我要牽到,E126146542,18837007
2,林北晨晨,E126146542,18837011
3,簽,D37147977,18736013
3,王一紅哥哥,E126146542,18836995
5,兩集的巨人 雙倍的快樂٩( ᐛ )۶♪,apple0820613,18731395
5,一次兩集 舒服,Joting901105,18735363
5,簽,abc921105,18740169
5,簽,Ciaoan051019,18770952
5,簽簽,Yenas,18796608
6,簽,dragons10626,18731077
6,3/22 簽,yashiro03,18731951
6,一次兩集，這裡是第15集，你少看了請回頭,SenSo,18745080
6,王一紅,E126146542,18836991
8,簽～～～,k20050819,19309247
9,好棒兩點半了!!!!!!!!!!!!!!!!!!!,qaz980821,18730858
9,一個禮拜又過去了,jason80228,18733795
9,你的孩子不是你的孩子_進擊的巨人篇,sa547028,18735682
10,簽,gci0001,18731007
10,好棒 2:30了,flowerhua,18731070
10,簽一波,ianlee931216,18731072
10,簽,Light1022,18731115
10,本回神回,Jason10283,18731454
10,簽,Ghukjgd12,18745595
10,捍衛巴哈 守護巴哈,jeff96tw,18748519
10,簽,BreadlyMIKU,18749237
10,簽 第二集,AA104007,18754943
10,簽,Johnson414,18883803
14,千,kun12331933,18730859
14,水,Wu0975467158,18731360
15,頭,Liekong39,18730950
15,連續兩集 明早完蛋起不來了,coollonger,18731626
15,簽,fairy1999107,18743402
15,簽爆😭😭😭,happy910506,18786920
16,有沒有人看錯集啊,QQ54213678,18742369
17,連播兩集爽啦，巴哈我大哥,tabbywuuowo,18731140
17,簽到 好棒 三點了,CONNIE0000,18731495
18,第二個,hdx941101,18730912
18,簽啦,vsouis87,18744490
19,喜歡吉克的故事,shenyufeng,18735466
19,簽,ab960126g,18740122
20,各位早安,Brian48787,18731295
20,3/22  02:52~~簽阿~~,PGONE5527,18731800
21,幹 今天不睡了,lingpiangu,18730989
22,簽,weizhen005,18773914
23,這集目前這季帶入感最高,k23055788,18732329
