各集SN,影片名稱,網址SN,年份,集數,觀看人數,網址
"['22240', '22311', '22312', '22313', '22434']",擾亂 THE PRINCESS OF SNOW AND BLOOD,112666,2021/03,第4集,5.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112666
"['22289', '22375', '22376', '22441']",如果究極進化的完全沉浸 RPG 比現實還更像垃圾遊戲的話,112661,2021/03,第3集,8.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112661
"['22247', '22288', '22480', '22481', '22251']",東京復仇者,112673,2021/03,第4集,7.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112673
"['22161', '22292', '22381', '22382', '22534']",憂國的莫里亞蒂 第一季 後半,112645,2021/03,第4集,39萬,https://ani.gamer.com.tw/animeRef.php?sn=112645
"['22198', '22199', '22252', '22253', '22474', '22475']",我的英雄學院 第五季,112643,2021/03,第5集,11.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112643
"['21881', '22263', '22305', '22306']",魔法水果籃 最終季,112627,2021/03,第3集,7.2萬,https://ani.gamer.com.tw/animeRef.php?sn=112627
"['21479', '22158', '22497']",舞伎家的料理人,112613,2021/02,第3集,59.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112613
"['20859', '20860', '20923', '20924', '21320', '21321', '21425', '21426', '21711', '21712', '21718']",魔術士歐菲 流浪之旅 基姆拉克篇,112549,2021/01,第11集,5.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112549
"['21132', '21133', '21245', '21246', '21396', '21397', '21638', '21639', '21919', '21920', '22200']",Dr.STONE 新石紀 第二季,112553,2021/01,第11集,3.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112553
"['20931', '20932', '21134', '21135', '21416', '21417', '21418', '21704', '21705', '22055', '22056', '22057']",奇蛋物語 Wonder Egg Priority,112588,2021/01,第12集,8.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112588
"['20624', '20625', '20626', '20784', '20785', '21263', '21264', '21406', '21407', '21694', '21695', '21962', '21963']",闇芝居 第八季,112571,2021/01,第13集,132.6萬,https://ani.gamer.com.tw/animeRef.php?sn=112571
"['20627', '20628', '20678', '20679', '21078', '21079', '21392', '21393', '21530', '21531', '21810', '21811']",廚神小當家 第二季,112545,2021/01,第12集,41萬,https://ani.gamer.com.tw/animeRef.php?sn=112545
"['20622', '20623', '20672', '20673', '21072', '21073', '21386', '21387', '21510', '21511', '21782', '21783']",EX-ARM,112570,2021/01,第12集,8.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112570
"['20618', '20619', '20668', '20669', '21068', '21069', '21382', '21383', '21506', '21507', '21779', '21780']",怪物事變,112569,2021/01,第12集,24萬,https://ani.gamer.com.tw/animeRef.php?sn=112569
"['20620', '20621', '20670', '20671', '21070', '21071', '21384', '21385', '21508', '21509', '21781']",無職轉生，到了異世界就拿出真本事,112541,2021/01,第11集,8.2萬,https://ani.gamer.com.tw/animeRef.php?sn=112541
"['20616', '20617', '20666', '20667', '21066', '21067', '21380', '21381', '21504', '21505', '21777', '21778', '22234']",SK8 the Infinity,112568,2021/01,第13集,112.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112568
"['20614', '20615', '20664', '20665', '21064', '21065', '21378', '21379', '21502', '21503', '21775', '21776']",怪病醫拉姆尼,112567,2021/01,第12集,429.2萬,https://ani.gamer.com.tw/animeRef.php?sn=112567
"['20612', '20613', '20662', '20663', '21062', '21063', '21376', '21377', '21500', '21501', '21772', '21773', '21774']",堀與宮村,112566,2021/01,第13集,84.2萬,https://ani.gamer.com.tw/animeRef.php?sn=112566
"['20610', '20611', '20660', '20661', '20772', '20865', '20866', '21259', '21260', '21402', '21403', '21691', '21692']",工作細胞 Black,112565,2021/01,第13集,38.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112565
"['20608', '20609', '20658', '20659', '21060', '21061', '21374', '21375']",工作細胞 第二季,112564,2021/01,第8集,241.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112564
"['20604', '20605', '20652', '20653', '21054', '21055', '21367', '21368', '21494', '21495', '21767', '21768', '22332']",Praeter 之傷,112563,2021/01,第13集,136.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112563
"['20602', '20603', '20648', '20649', '21049', '21050', '21361', '21362', '21488', '21489', '21763', '21764', '22320', '22321', '22322', '22455', '22456']",BACK ARROW,112562,2021/01,第16集,80.2萬,https://ani.gamer.com.tw/animeRef.php?sn=112562
"['20600', '20601', '20644', '20645', '21044', '21045', '21357', '21358', '21484', '21485', '21760', '21761', '22256', '22257', '22258', '22453']",轉生成蜘蛛又怎樣！,112560,2021/01,第15集,11.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112560
"['20559', '20560', '20640', '20641', '20966', '20967', '21350', '21351', '21467', '21468', '21756', '21757']",2.43 清陰高中男子排球社,112556,2021/01,第12集,26.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112556
"['20557', '20558', '20638', '20639', '20964', '20965', '21348', '21349', '21464', '21465', '21754', '21755', '22331']",天地創造設計部,112555,2021/01,第13集,326.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112555
"['20555', '20556', '20636', '20637', '20962', '20963', '21346', '21347', '21462', '21463', '21752', '21753', '22201']",搖曳露營△ 第二季,112554,2021/01,第13集,25萬,https://ani.gamer.com.tw/animeRef.php?sn=112554
"['20553', '20554', '20634', '20635', '20960', '20961', '21344', '21345', '21460', '21461', '21750', '21751']",搖滾少女!! STARS!!,112552,2021/01,第12集,最近搜尋,https://ani.gamer.com.tw/animeRef.php?sn=112552
"['20561', '20562', '20563', '20778', '20779', '21249', '21250', '21400', '21401', '21642', '21643', '21921']",約定的夢幻島 第二季,112557,2021/01,第12集,熱門搜尋,https://ani.gamer.com.tw/animeRef.php?sn=112557
"['20533', '20534', '20598', '20599', '20929', '20930', '21326', '21327', '21431', '21432', '21716', '21717']",蒼之騎士團,112551,2021/01,第12集,6.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112551
"['20531', '20532', '20596', '20597', '20927', '20928', '21324', '21325', '21429', '21430', '21714', '21715']",ICHU 偶像進行曲,112550,2021/01,第12集,126.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112550
"['20530', '20568', '20736', '20737', '21136', '21137', '21419', '21420', '21421', '21706', '21707', '22259', '20527']",關於我轉生變成史萊姆這檔事 第二季,112548,2021/01,第13集,22.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112548
"['20454', '20455', '20549', '20550', '20867', '20868', '21272', '21273', '21412', '21413', '21700', '21701']",PUI PUI 天竺鼠車車,112547,2021/01,第12集,5萬,https://ani.gamer.com.tw/animeRef.php?sn=112547
"['20449', '20450', '20547', '20548', '20863', '20864', '21270', '21271', '21410', '21411', '21698', '21699']",裏世界遠足,112544,2021/01,第12集,523.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112544
"['20447', '20448', '20551', '20552', '20861', '20862', '21268', '21269', '21408', '21409', '21696', '21697']",比方說，這是個出身魔王關附近的少年在新手村生活的故事,112543,2021/01,第12集,173.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112543
"['20445', '20446', '20523', '20524', '21046', '21047', '21048', '21359', '21360', '21486', '21487', '21762']",大人的防具店 第二季,112561,2021/01,第12集,42.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112561
"['20507', '20508', '20509', '20510', '20511', '20512', '20513', '20514', '20515', '20516', '20517', '20518', '20519', '20520', '20521']",幼女社長,112559,2021/01,第15集,201.2萬,https://ani.gamer.com.tw/animeRef.php?sn=112559
"['20342', '20343', '20344', '20525', '20526', '20782', '20783', '21261', '21262', '21404', '21405', '21693']",花樣滑冰 Stars,112542,2020/12,第12集,17.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112542
112612,鬼滅之刃特別編集版：柱合會議蝶屋敷篇,112612,2020/12,第1集,11.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112612
"['19849', '19850', '19959', '19960', '20334', '20335', '20674', '20675', '21074', '21075', '21388', '21389', '21512', '21513', '21784', '21785']",進擊的巨人 The Final Season,112522,2020/12,第16集,12.6萬,https://ani.gamer.com.tw/animeRef.php?sn=112522
"['18820', '18821', '18936', '18937', '19584', '19585', '19894', '19895', '20456', '20457', '20458', '20646', '20647', '19586']",D4DJ First Mix,112479,2020/10,第14集,6.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112479
112611,鬼滅之刃特別編集版：那田蜘蛛山篇,112611,2020/10,第1集,778.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112611
"['18622', '18623', '18928', '18929', '19189', '19190', '19453', '19454', '19676', '19677', '20021', '20022']",土下座跪求給看,112490,2020/10,第12集,26.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112490
"['18612', '18613', '18627', '18628', '19183', '19184', '19438', '19439', '19646', '19647', '20018', '20019']",光之戰記 -ZUERST-,112453,2020/10,第12集,4.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112453
"['18559', '18560', '18614', '18615', '19031', '19032', '19393', '19394', '19642', '19643', '19963', '19964', '20451', '20452', '20453', '20676', '20677', '21076', '21077', '21390', '21391', '21528', '21529', '21808', '21809']",阿松 第三季,112451,2020/10,第25集,68.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112451
"['18550', '18551', '18577', '18578', '19003', '19004', '19370', '19371', '19616', '19617', '19941', '19942']",成神之日,112469,2020/10,第12集,16.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112469
"['18548', '18549', '18585', '18586', '18992', '18993', '19362', '19363', '19610', '19611', '19935', '19936']",請問您今天要來點兔子嗎？BLOOM,112466,2020/10,第12集,33.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112466
"['18552', '18553', '18571', '18572', '19009', '19010', '19376', '19377', '19622', '19623', '19946']",體操武士,112462,2020/10,第11集,132.6萬,https://ani.gamer.com.tw/animeRef.php?sn=112462
"['20569', '20570', '20571', '20572', '20573', '20574', '20575', '20576', '20577', '20578', '20579', '20580', '20564', '20565', '20642', '20643', '20968', '20969', '21352', '21353', '21469', '21470', '21758', '21759']",水豚君,112558,2020/10,第24集,41.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112558
"['18541', '18542', '18610', '18611', '18934', '18935', '19332', '19333', '19548', '19549', '19851', '19852']",小碧藍幻想！,112489,2020/10,第12集,20.6萬,https://ani.gamer.com.tw/animeRef.php?sn=112489
"['18539', '18540', '18547', '18932', '18933', '19193', '19194', '19457', '19458', '19680', '19681', '20025']",強襲魔女 通往柏林之路,112478,2020/10,第12集,9.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112478
"['18535', '18536', '18544', '18924', '18925', '19185', '19186', '19440', '19441', '19839', '19840', '19841', '19842']",月歌。THE ANIMATION 2,112454,2020/10,第13集,20.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112454
"['18525', '18526', '18527', '18624', '18625', '19033', '19034', '19395', '19396', '19644', '19645', '19965']",在魔王城說晚安,112452,2020/10,第12集,29.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112452
"['18487', '18489', '18490', '18561', '18562', '19021', '19022', '19388', '19389', '19638', '19639', '19958']",秘密結社 鷹之爪 -Golden Spell-,112481,2020/10,第12集,6.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112481
"['18523', '18524', '18532', '18533', '18769', '18770', '19290', '19291', '19521', '19522', '19847', '19848']",黃金神威 第三季,112474,2020/10,第12集,240.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112474
"['18491', '18492', '18563', '18564', '19019', '19020', '19386', '19387', '19636', '19637', '19956', '19957', '18488']",前說！,112477,2020/10,第13集,最近搜尋,https://ani.gamer.com.tw/animeRef.php?sn=112477
"['18439', '18493', '18494', '18565', '18566', '19017', '19018', '19384', '19385', '19634', '19635', '19955']",眾神眷顧的男人,112473,2020/10,第12集,熱門搜尋,https://ani.gamer.com.tw/animeRef.php?sn=112473
"['18438', '18495', '18496', '18573', '18574', '19007', '19008', '19374', '19375', '19620', '19621', '19945']",攀岩少女！,112470,2020/10,第12集,7.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112470
"['18436', '18499', '18500', '18579', '18580', '19001', '19002', '19368', '19614', '19615', '19939', '19940']",戰翼的希格德莉法,112480,2020/10,第12集,165萬,https://ani.gamer.com.tw/animeRef.php?sn=112480
"['18429', '18515', '18516', '18601', '18602', '18974', '18975', '19344', '19345', '19592', '19593', '19896', '19897']",催眠麥克風,112475,2020/10,第13集,39.6萬,https://ani.gamer.com.tw/animeRef.php?sn=112475
"['18437', '18497', '18498', '18575', '18576', '19005', '19006', '19372', '19373', '19618', '19619', '19943', '19944']",魔法科高中的劣等生 來訪者篇,112468,2020/10,第13集,39.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112468
"['18435', '18501', '18502', '18581', '18582', '18999', '19000', '19366', '19367', '19612', '19613', '19937', '19938']",Love Live！虹咲學園 學園偶像同好會,112467,2020/10,第13集,52.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112467
"['18434', '18503', '18504', '18587', '18588', '18990', '18991', '19360', '19361', '19608', '19609', '19933', '19934', '20338', '20339', '20656', '20657', '21058', '21059', '21371', '21372', '21498', '21499', '21771']",半妖的夜叉姬,112465,2020/10,第24集,264.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112465
"['18433', '18505', '18506', '18589', '18590', '18988', '18989', '19358', '19359', '19606', '19607', '19931', '19932', '20336', '20337', '20654', '20655', '21056', '21057', '21369', '21370', '21496', '21497', '21769', '21770', '22231', '22232', '22233', '22471', '22472']",勇者鬥惡龍 達伊的大冒險,112464,2020/10,第29集,37.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112464
"['18432', '18507', '18508', '18595', '18596', '18984', '18985', '19354', '19355', '19602', '19603', '19928']",排球少年！！第四季 Part 2,112463,2020/10,第12集,132.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112463
"['18431', '18509', '18510', '18591', '18592', '18980', '18981', '19350', '19351', '19598', '19599', '19924', '19925', '19990', '19991', '20606', '20607', '21051', '21052', '21053', '21363', '21364', '21490', '21491', '21786', '21787']",王之逆襲：意志的繼承者,112461,2020/10,第26集,112.6萬,https://ani.gamer.com.tw/animeRef.php?sn=112461
"['18430', '18513', '18514', '18599', '18600', '18976', '18977', '19346', '19347', '19594', '19595', '19898', '22500']",在地下城尋求邂逅是否搞錯了什麼 第三季,112460,2020/10,第12集,196.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112460
"['20629', '20630', '20680', '20681', '21080', '21081', '21394', '21395', '21532', '21533', '21812', '21813']",WAVE!! ~來衝浪吧!!~,112546,2020/10,第12集,67.9萬,https://ani.gamer.com.tw/animeRef.php?sn=112546
"['18484', '18511', '18512', '18597', '18598', '18978', '18979', '19348', '19349', '19596', '19597', '19899']",鐵路浪漫譚,112488,2020/10,第12集,302.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112488
112485,BEM 妖怪人類貝姆劇場版～BECOME HUMAN～,112485,2020/10,第1集,6.2萬,https://ani.gamer.com.tw/animeRef.php?sn=112485
"['18422', '18423', '18424']",BURN THE WITCH 龍與魔女,112476,2020/10,第3集,12.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112476
"['18428', '18517', '18518', '18603', '18604', '18972', '18973', '19338', '19339', '19587', '19588', '19589']",我立於百萬生命之上,112459,2020/10,第12集,1.9萬,https://ani.gamer.com.tw/animeRef.php?sn=112459
"['18427', '18519', '18520', '18605', '18606', '18970', '18971', '19336', '19337', '19582', '19583', '19893']",魔女之旅,112458,2020/10,第12集,27.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112458
"['18626', '18675', '18676', '18982', '18983', '19352', '19353', '19600', '19601', '19926', '19927', '20345', '20346', '20347', '20650', '20651', '21365', '21366', '21492', '21493', '21765', '21766', '22229', '22230']",咒術迴戰,112457,2020/10,第24集,152萬,https://ani.gamer.com.tw/animeRef.php?sn=112457
"['18421', '18521', '18522', '18608', '18609', '18938', '18939', '19334', '19335', '19550', '19551', '19853', '19854', '20189', '20340', '20341', '20776', '20777', '21247', '21248', '21398', '21399', '21640', '21641']",暮蟬悲鳴時 業,112456,2020/10,第24集,193.9萬,https://ani.gamer.com.tw/animeRef.php?sn=112456
"['18537', '18538', '18546', '18930', '18931', '19191', '19192', '19455', '19456', '19678', '19679', '20023', '20024', '18420']",大貴族,112455,2020/09,第14集,1098.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112455
"['18370', '18554', '18556', '18569', '18570', '19011', '19012', '19378', '19379', '19628', '19629', '19949', '19950']",無能力者娜娜,112471,2020/09,第13集,144.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112471
"['18369', '18555', '18567', '18568', '19013', '19014', '19380', '19381', '19630', '19631', '19951']",憂國的莫里亞蒂 第一季,112472,2020/09,第11集,89.9萬,https://ani.gamer.com.tw/animeRef.php?sn=112472
"['18215', '18534', '18545', '18926', '18927', '19187', '19188', '19451', '19452', '19674', '19675', '20020']",熊熊勇闖異世界,112449,2020/09,第12集,162.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112449
"['22070', '22071']",佐賀偶像是傳奇 舞台劇 Stage de Dooon！,112635,2020/09,第2集,54.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112635
"['16952', '16953']",我的英雄學院 OVA：活下來！殊死的生存訓練,112426,2020/08,第2集,172.9萬,https://ani.gamer.com.tw/animeRef.php?sn=112426
111652,進擊的巨人 劇場版 CHRONICLE,111652,2020/07,第1集,1.4萬,https://ani.gamer.com.tw/animeRef.php?sn=111652
"['16429', '16430', '16487', '16488', '16721', '16722', '16945', '16946', '17347', '17348', '17977', '17978', '16394']",GIBIATE 獵魔武士,106527,2020/07,第13集,24.1萬,https://ani.gamer.com.tw/animeRef.php?sn=106527
"['16404', '16405', '16411', '16412', '16632', '16633', '16866', '16867', '17231', '17232', '18106', '18107', '18781']",忍者收藏,112409,2020/07,第13集,最近搜尋,https://ani.gamer.com.tw/animeRef.php?sn=112409
"['16400', '16401', '16423', '16424', '16646', '16647', '16880', '16881', '17243', '17244', '17740', '17741']",彼得・格里爾的賢者時間,112402,2020/07,第12集,熱門搜尋,https://ani.gamer.com.tw/animeRef.php?sn=112402
"['16407', '16408', '16419', '16420', '16642', '16643', '16876', '16877', '17239', '17240', '17736', '17737']",GET UP！GET LIVE！＃GERA GERA,112206,2020/07,第12集,10.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112206
"['16402', '16403', '16417', '16418', '16640', '16641', '16874', '16875', '17237', '17238', '17734', '17735']",出租女友,109203,2020/07,第12集,56.4萬,https://ani.gamer.com.tw/animeRef.php?sn=109203
"['16398', '16399', '16421', '16422', '16644', '16645', '16878', '16879', '17241', '17242', '17738', '17739']",彼得・格里爾的賢者時間,107915,2020/07,第12集,3.3萬,https://ani.gamer.com.tw/animeRef.php?sn=107915
"['16391', '16392', '16427', '16428', '16619', '16620', '16829', '16830', '17226', '17227', '17727', '17728']",非槍人生 NO GUNS LIFE 第二季,109320,2020/07,第12集,334.7萬,https://ani.gamer.com.tw/animeRef.php?sn=109320
"['16396', '16397', '16425', '16426', '16650', '16651', '16854', '16855', '17229', '17230', '17744', '17745']",果然我的青春戀愛喜劇搞錯了。完,104549,2020/07,第12集,47.6萬,https://ani.gamer.com.tw/animeRef.php?sn=104549
"['16344', '16345', '16433', '16434', '16588', '16589', '16832', '16833', '17161', '17162', '17661', '17662', '18367', '20528', '20529', '20594', '20595', '20925', '20926', '21322', '21323', '21427', '21428', '21713', '22159']",Re：從零開始的異世界生活 第二季,104687,2020/07,第25集,32.4萬,https://ani.gamer.com.tw/animeRef.php?sn=104687
"['16295', '16296', '16435', '16436', '16559', '16560', '16836', '16837', '17074', '17075', '17665', '17666']",魔法律事務所 第二季,106136,2020/07,第12集,181.8萬,https://ani.gamer.com.tw/animeRef.php?sn=106136
"['16251', '16252', '16293', '16294', '16532', '16533', '16751', '16752', '17017', '17018', '17499', '17500', '18291']",高校之神,111121,2020/07,第13集,965.7萬,https://ani.gamer.com.tw/animeRef.php?sn=111121
"['16240', '16241', '16263', '16264', '16520', '16521', '16755', '16756', '17003']",巨人族的新娘,111487,2020/07,第9集,21.4萬,https://ani.gamer.com.tw/animeRef.php?sn=111487
"['16243', '16236', '16242', '16413', '16414', '16636', '16637', '16870', '16871', '17235', '17236', '17733']",刀劍神域 Alicization War of Underworld -THE LAST SEASON-,110596,2020/07,第12集,149.4萬,https://ani.gamer.com.tw/animeRef.php?sn=110596
"['16233', '16234', '16261', '16262', '16522', '16523', '16757', '16758', '17005', '17006', '17503', '17504', '18220']",魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～,108067,2020/07,第13集,46.3萬,https://ani.gamer.com.tw/animeRef.php?sn=108067
"['16231', '16232', '16257', '16258', '16526', '16527', '16761', '16762', '17009', '17010', '17505', '17506']",Lapis Re：LiGHTs,110567,2020/07,第12集,473萬,https://ani.gamer.com.tw/animeRef.php?sn=110567
"['16237', '16238', '16255', '16256', '16634', '16635', '16868', '16869', '17233', '17234', '17731', '17732']",魔物娘的醫生,108673,2020/07,第12集,485.9萬,https://ani.gamer.com.tw/animeRef.php?sn=108673
"['16229', '16230', '16253', '16254', '16530', '16531', '16767', '17013', '17014', '17512', '17513', '18218']",弩級戰隊 HXEROS,108367,2020/07,第12集,41.4萬,https://ani.gamer.com.tw/animeRef.php?sn=108367
"['16195', '16196', '16197', '16198', '16438', '16439', '16691', '16692', '16932', '16933', '17337', '17338', '17896', '17897', '18363', '18364', '18528', '18529', '18777', '18778', '19294', '19295', '19525', '19526', '19843', '19844', '20217', '20218', '20443', '20444', '20871', '20872', '21316', '21317', '21422', '21423', '21708', '21709', '21710']",小妖怪,112205,2020/07,第39集,137.9萬,https://ani.gamer.com.tw/animeRef.php?sn=112205
"['16176', '16239', '16484', '16485', '16486', '16931', '16719', '16720', '16943', '16944', '17345', '17346', '17976']",DECA - DENCE,106466,2020/06,第13集,64.5萬,https://ani.gamer.com.tw/animeRef.php?sn=106466
"['16122', '16123', '16244', '16245', '16246', '16528', '16529', '16764', '16765', '17011', '17012', '17510', '17511', '18110', '18111', '18441', '18442', '18593', '18594', '18986', '18987', '19356', '19357', '19604', '19605', '19929', '19930', '20522']",超人力霸王 Z,112017,2020/06,第28集,4.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112017
"['16031', '16032', '16033', '16034', '16059', '16174', '16175', '16259', '16260', '16524', '16525', '16759', '16760', '17007', '17008', '18108', '18109', '18443', '18444', '18583', '18584', '18997', '18998', '19364', '19365']",卡片戰鬥!! 先導者 外傳 -if-,111789,2020/05,第25集,148萬,https://ani.gamer.com.tw/animeRef.php?sn=111789
"['15351', '15352', '15358', '15359', '15528', '16171', '16172', '16173', '16291', '16292', '16534', '16535', '16753', '16754', '17019', '17020', '17501', '17502', '18216', '18217', '18485', '18486', '18618', '18619']",別冊奧林匹克之環,110464,2020/04,第24集,34.1萬,https://ani.gamer.com.tw/animeRef.php?sn=110464
"['15347', '15348', '15353', '15354', '15526', '15527', '15644', '15645', '15781', '15782', '15997', '15998', '16186', '16187', '16431', '16432', '16621', '16622', '16725', '16975', '16976', '17359', '17360', '18030']",香蕉怪大叔 呐呐~呐　北海妖怪追追追！,110895,2020/04,第24集,6.1萬,https://ani.gamer.com.tw/animeRef.php?sn=110895
