SN_Number,影片名稱,年份,集數,觀看人數,網址
112666,擾亂 THE PRINCESS OF SNOW AND BLOOD,2021/03,第4集,5.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112666
112661,如果究極進化的完全沉浸 RPG 比現實還更像垃圾遊戲的話,2021/03,第3集,8.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112661
112673,東京復仇者,2021/03,第4集,7.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112673
112645,憂國的莫里亞蒂 第一季 後半,2021/03,第4集,39萬,https://ani.gamer.com.tw/animeRef.php?sn=112645
112643,我的英雄學院 第五季,2021/03,第5集,11.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112643
112627,魔法水果籃 最終季,2021/03,第3集,7.2萬,https://ani.gamer.com.tw/animeRef.php?sn=112627
112613,舞伎家的料理人,2021/02,第3集,59.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112613
112549,魔術士歐菲 流浪之旅 基姆拉克篇,2021/01,第11集,5.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112549
112553,Dr.STONE 新石紀 第二季,2021/01,第11集,3.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112553
112588,奇蛋物語 Wonder Egg Priority,2021/01,第12集,8.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112588
112571,闇芝居 第八季,2021/01,第13集,132.6萬,https://ani.gamer.com.tw/animeRef.php?sn=112571
112545,廚神小當家 第二季,2021/01,第12集,41萬,https://ani.gamer.com.tw/animeRef.php?sn=112545
112570,EX-ARM,2021/01,第12集,8.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112570
112569,怪物事變,2021/01,第12集,24萬,https://ani.gamer.com.tw/animeRef.php?sn=112569
112541,無職轉生，到了異世界就拿出真本事,2021/01,第11集,8.2萬,https://ani.gamer.com.tw/animeRef.php?sn=112541
112568,SK8 the Infinity,2021/01,第13集,112.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112568
112567,怪病醫拉姆尼,2021/01,第12集,429.2萬,https://ani.gamer.com.tw/animeRef.php?sn=112567
112566,堀與宮村,2021/01,第13集,84.2萬,https://ani.gamer.com.tw/animeRef.php?sn=112566
112565,工作細胞 Black,2021/01,第13集,38.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112565
112564,工作細胞 第二季,2021/01,第8集,241.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112564
112563,Praeter 之傷,2021/01,第13集,136.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112563
112562,BACK ARROW,2021/01,第16集,80.2萬,https://ani.gamer.com.tw/animeRef.php?sn=112562
112560,轉生成蜘蛛又怎樣！,2021/01,第15集,11.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112560
112556,2.43 清陰高中男子排球社,2021/01,第12集,26.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112556
112555,天地創造設計部,2021/01,第13集,326.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112555
112554,搖曳露營△ 第二季,2021/01,第13集,25萬,https://ani.gamer.com.tw/animeRef.php?sn=112554
112552,搖滾少女!! STARS!!,2021/01,第12集,最近搜尋,https://ani.gamer.com.tw/animeRef.php?sn=112552
112557,約定的夢幻島 第二季,2021/01,第12集,熱門搜尋,https://ani.gamer.com.tw/animeRef.php?sn=112557
112551,蒼之騎士團,2021/01,第12集,6.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112551
112550,ICHU 偶像進行曲,2021/01,第12集,126.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112550
112548,關於我轉生變成史萊姆這檔事 第二季,2021/01,第13集,22.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112548
112547,PUI PUI 天竺鼠車車,2021/01,第12集,5萬,https://ani.gamer.com.tw/animeRef.php?sn=112547
112544,裏世界遠足,2021/01,第12集,523.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112544
112543,比方說，這是個出身魔王關附近的少年在新手村生活的故事,2021/01,第12集,173.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112543
112561,大人的防具店 第二季,2021/01,第12集,42.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112561
112559,幼女社長,2021/01,第15集,201.2萬,https://ani.gamer.com.tw/animeRef.php?sn=112559
112542,花樣滑冰 Stars,2020/12,第12集,17.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112542
112612,鬼滅之刃特別編集版：柱合會議蝶屋敷篇,2020/12,第1集,11.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112612
112522,進擊的巨人 The Final Season,2020/12,第16集,12.6萬,https://ani.gamer.com.tw/animeRef.php?sn=112522
112479,D4DJ First Mix,2020/10,第14集,6.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112479
112611,鬼滅之刃特別編集版：那田蜘蛛山篇,2020/10,第1集,778.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112611
112490,土下座跪求給看,2020/10,第12集,26.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112490
112453,光之戰記 -ZUERST-,2020/10,第12集,4.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112453
112451,阿松 第三季,2020/10,第25集,68.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112451
112469,成神之日,2020/10,第12集,16.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112469
112466,請問您今天要來點兔子嗎？BLOOM,2020/10,第12集,33.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112466
112462,體操武士,2020/10,第11集,132.6萬,https://ani.gamer.com.tw/animeRef.php?sn=112462
112558,水豚君,2020/10,第24集,41.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112558
112489,小碧藍幻想！,2020/10,第12集,20.6萬,https://ani.gamer.com.tw/animeRef.php?sn=112489
112478,強襲魔女 通往柏林之路,2020/10,第12集,9.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112478
112454,月歌。THE ANIMATION 2,2020/10,第13集,20.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112454
112452,在魔王城說晚安,2020/10,第12集,29.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112452
112481,秘密結社 鷹之爪 -Golden Spell-,2020/10,第12集,6.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112481
112474,黃金神威 第三季,2020/10,第12集,240.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112474
112477,前說！,2020/10,第13集,最近搜尋,https://ani.gamer.com.tw/animeRef.php?sn=112477
112473,眾神眷顧的男人,2020/10,第12集,熱門搜尋,https://ani.gamer.com.tw/animeRef.php?sn=112473
112470,攀岩少女！,2020/10,第12集,7.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112470
112480,戰翼的希格德莉法,2020/10,第12集,165萬,https://ani.gamer.com.tw/animeRef.php?sn=112480
112475,催眠麥克風,2020/10,第13集,39.6萬,https://ani.gamer.com.tw/animeRef.php?sn=112475
112468,魔法科高中的劣等生 來訪者篇,2020/10,第13集,39.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112468
112467,Love Live！虹咲學園 學園偶像同好會,2020/10,第13集,52.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112467
112465,半妖的夜叉姬,2020/10,第24集,264.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112465
112464,勇者鬥惡龍 達伊的大冒險,2020/10,第29集,37.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112464
112463,排球少年！！第四季 Part 2,2020/10,第12集,132.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112463
112461,王之逆襲：意志的繼承者,2020/10,第26集,112.6萬,https://ani.gamer.com.tw/animeRef.php?sn=112461
112460,在地下城尋求邂逅是否搞錯了什麼 第三季,2020/10,第12集,196.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112460
112546,WAVE!! ~來衝浪吧!!~,2020/10,第12集,67.9萬,https://ani.gamer.com.tw/animeRef.php?sn=112546
112488,鐵路浪漫譚,2020/10,第12集,302.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112488
112485,BEM 妖怪人類貝姆劇場版～BECOME HUMAN～,2020/10,第1集,6.2萬,https://ani.gamer.com.tw/animeRef.php?sn=112485
112476,BURN THE WITCH 龍與魔女,2020/10,第3集,12.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112476
112459,我立於百萬生命之上,2020/10,第12集,1.9萬,https://ani.gamer.com.tw/animeRef.php?sn=112459
112458,魔女之旅,2020/10,第12集,27.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112458
112457,咒術迴戰,2020/10,第24集,152萬,https://ani.gamer.com.tw/animeRef.php?sn=112457
112456,暮蟬悲鳴時 業,2020/10,第24集,193.9萬,https://ani.gamer.com.tw/animeRef.php?sn=112456
112455,大貴族,2020/09,第14集,1098.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112455
112471,無能力者娜娜,2020/09,第13集,144.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112471
112472,憂國的莫里亞蒂 第一季,2020/09,第11集,89.9萬,https://ani.gamer.com.tw/animeRef.php?sn=112472
112449,熊熊勇闖異世界,2020/09,第12集,162.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112449
112635,佐賀偶像是傳奇 舞台劇 Stage de Dooon！,2020/09,第2集,54.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112635
112426,我的英雄學院 OVA：活下來！殊死的生存訓練,2020/08,第2集,172.9萬,https://ani.gamer.com.tw/animeRef.php?sn=112426
111652,進擊的巨人 劇場版 CHRONICLE,2020/07,第1集,1.4萬,https://ani.gamer.com.tw/animeRef.php?sn=111652
106527,GIBIATE 獵魔武士,2020/07,第13集,24.1萬,https://ani.gamer.com.tw/animeRef.php?sn=106527
112409,忍者收藏,2020/07,第13集,最近搜尋,https://ani.gamer.com.tw/animeRef.php?sn=112409
112402,彼得・格里爾的賢者時間,2020/07,第12集,熱門搜尋,https://ani.gamer.com.tw/animeRef.php?sn=112402
112206,GET UP！GET LIVE！＃GERA GERA,2020/07,第12集,10.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112206
109203,出租女友,2020/07,第12集,56.4萬,https://ani.gamer.com.tw/animeRef.php?sn=109203
107915,彼得・格里爾的賢者時間,2020/07,第12集,3.3萬,https://ani.gamer.com.tw/animeRef.php?sn=107915
109320,非槍人生 NO GUNS LIFE 第二季,2020/07,第12集,334.7萬,https://ani.gamer.com.tw/animeRef.php?sn=109320
104549,果然我的青春戀愛喜劇搞錯了。完,2020/07,第12集,47.6萬,https://ani.gamer.com.tw/animeRef.php?sn=104549
104687,Re：從零開始的異世界生活 第二季,2020/07,第25集,32.4萬,https://ani.gamer.com.tw/animeRef.php?sn=104687
106136,魔法律事務所 第二季,2020/07,第12集,181.8萬,https://ani.gamer.com.tw/animeRef.php?sn=106136
111121,高校之神,2020/07,第13集,965.7萬,https://ani.gamer.com.tw/animeRef.php?sn=111121
111487,巨人族的新娘,2020/07,第9集,21.4萬,https://ani.gamer.com.tw/animeRef.php?sn=111487
110596,刀劍神域 Alicization War of Underworld -THE LAST SEASON-,2020/07,第12集,149.4萬,https://ani.gamer.com.tw/animeRef.php?sn=110596
108067,魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～,2020/07,第13集,46.3萬,https://ani.gamer.com.tw/animeRef.php?sn=108067
110567,Lapis Re：LiGHTs,2020/07,第12集,473萬,https://ani.gamer.com.tw/animeRef.php?sn=110567
108673,魔物娘的醫生,2020/07,第12集,485.9萬,https://ani.gamer.com.tw/animeRef.php?sn=108673
108367,弩級戰隊 HXEROS,2020/07,第12集,41.4萬,https://ani.gamer.com.tw/animeRef.php?sn=108367
112205,小妖怪,2020/07,第39集,137.9萬,https://ani.gamer.com.tw/animeRef.php?sn=112205
106466,DECA - DENCE,2020/06,第13集,64.5萬,https://ani.gamer.com.tw/animeRef.php?sn=106466
112017,超人力霸王 Z,2020/06,第28集,4.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112017
111789,卡片戰鬥!! 先導者 外傳 -if-,2020/05,第25集,148萬,https://ani.gamer.com.tw/animeRef.php?sn=111789
110464,別冊奧林匹克之環,2020/04,第24集,34.1萬,https://ani.gamer.com.tw/animeRef.php?sn=110464
110895,香蕉怪大叔 呐呐~呐　北海妖怪追追追！,2020/04,第24集,6.1萬,https://ani.gamer.com.tw/animeRef.php?sn=110895
104777,啄木鳥偵探社,2020/04,第12集,70萬,https://ani.gamer.com.tw/animeRef.php?sn=104777
